Item,Quantity,Use,Cost(thb)+shipping,Link
Stranded Silicone Wires,4-5 meters,wire components together by solder,630,https://shopee.co.th/1-5-10-Meter-Number-6-30AWG-0.08mm-UL-Stranded-Silicone-Flexible-Cable-600V-200%C2%B0C-i.1096643478.27219985090?is_from_login=true
ESP-32 30-pin,1,microcontroller,230,https://shopee.co.th/ESP32-ESP-32-DOIT-DEVKIT-V1-Layout-Development-Board-30-Pin-i.128765755.4216421644?extraParams=%7B%22display_model_id%22%3A205873168602%2C%22model_selection_logic%22%3A3%7D&sp_atk=bbc53ea4-5011-4bb9-9671-540ca8dcf233&xptdk=bbc53ea4-5011-4bb9-9671-540ca8dcf233
LCD TFT Screen,2,The screen is used to display the output from Spotify API,300,https://shopee.co.th/%E0%B8%88%E0%B8%AD-LCD-TFT-1.8%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-RGB-128x160px-SPI-SNP-00086-i.1272136510.26451852926?extraParams=%7B%22display_model_id%22%3A245961807170%2C%22model_selection_logic%22%3A3%7D&sp_atk=58c967bb-f13b-4bf2-b8dd-e695ec0ac357&xptdk=58c967bb-f13b-4bf2-b8dd-e695ec0ac357
Tactical Switches,5,Switches usedto control the output executed,63,https://shopee.co.th/Outemu-Switch-Red-Switch-Blue-Switch-%E0%B8%9B%E0%B8%B8%E0%B9%88%E0%B8%A1%E0%B8%AA%E0%B8%A7%E0%B8%B4%E0%B8%95%E0%B8%8A%E0%B9%8C-Mechanical-Keyboard-(Switch%E0%B9%81%E0%B8%9A%E0%B8%9ACherry-Mx)-2-%E0%B8%82%E0%B8%B2-i.114602778.11226353225?extraParams=%7B%22display_model_id%22%3A68174988955%2C%22model_selection_logic%22%3A3%7D&sp_atk=8a9c0300-f607-44dd-a667-facdf7ef0c61&xptdk=8a9c0300-f607-44dd-a667-facdf7ef0c61
Soldering iron,1,needed to solder parts together,179,https://shopee.co.th/%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B9%81%E0%B8%A3%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%9F%E0%B8%9F%E0%B9%89%E0%B8%B2-15-%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%88%E0%B8%AD%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5%E0%B8%94%E0%B8%B4%E0%B8%88%E0%B8%B4%E0%B8%95%E0%B8%AD%E0%B8%A5-i.1198267900.25324123792?extraParams=%7B%22display_model_id%22%3A250635337009%2C%22model_selection_logic%22%3A3%7D&rModelId=250635337009&sp_atk=48ac7c46-89c0-4e79-a02a-c1a16f42ead9&vItemId=27690169019&vModelId=243767613376&vShopId=1449018616&xptdk=48ac7c46-89c0-4e79-a02a-c1a16f42ead9
Hot glue gun sticks,1 pack,needed for my hot glue gun,109,https://shopee.co.th/50-%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-7-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B8%B4%E0%B9%80%E0%B8%A1%E0%B8%95%E0%B8%A3-100-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B8%B4%E0%B9%80%E0%B8%A1%E0%B8%95%E0%B8%A3%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B9%88%E0%B8%87%E0%B9%83%E0%B8%AA-Hot-Melt-%E0%B8%81%E0%B8%B2%E0%B8%A7-Sticks-%E0%B8%AA%E0%B9%8D%E0%B8%B2%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99%E0%B8%9B%E0%B8%B7%E0%B8%99%E0%B8%9E%E0%B8%81%E0%B8%9B%E0%B8%B7%E0%B8%99%E0%B8%81%E0%B8%B2%E0%B8%A7%E0%B9%84%E0%B8%9F%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B8%9B%E0%B8%B7%E0%B8%99%E0%B8%AB%E0%B8%B1%E0%B8%95%E0%B8%96%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%8B%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%97%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B9%84%E0%B8%9B%E0%B8%81%E0%B8%B2%E0%B8%A7-DIY-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD-i.102282123.25481407599?extraParams=%7B%22display_model_id%22%3A222841142091%2C%22model_selection_logic%22%3A3%7D&sp_atk=8ebf9c46-6013-42ce-93b3-87f9d9e26f0b&xptdk=8ebf9c46-6013-42ce-93b3-87f9d9e26f0b
Solder Wire,1,needed for the soldering iron,630,https://shopee.co.th/63-37-Tin-Rosin-Core-20g-0.8-%E0%B8%A1%E0%B8%A1.%E0%B8%A5%E0%B8%A7%E0%B8%94%E0%B8%9A%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%9F%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B8%8B%E0%B9%8C%E0%B8%AA%E0%B9%8D%E0%B8%B2%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%9A%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B9%84%E0%B8%9F%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B8%8B%E0%B9%88%E0%B8%AD%E0%B8%A1-i.1842448496.51861476793?extraParams=%7B%22display_model_id%22%3A375998075389%2C%22model_selection_logic%22%3A3%7D&sp_atk=c3e4871c-22dc-4a27-8346-67d5d2387692&xptdk=c3e4871c-22dc-4a27-8346-67d5d2387692
M2 Screws,1,needed to screw ESP32 and TFT Screen to the 3D Printed SpotiFi,167,https://shopee.co.th/%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B9%80%E0%B8%AA%E0%B8%B2%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%87-%E0%B9%80%E0%B8%AA%E0%B8%B2%E0%B9%84%E0%B8%99%E0%B8%A5%E0%B8%AD%E0%B8%99-%E0%B8%99%E0%B8%AD%E0%B8%95-%E0%B8%AA%E0%B8%81%E0%B8%A3%E0%B8%B9-M2-M3-120-180-910%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-M2-M3-Hex-Brass-Nylon-Standoff-Nut-Screw-kit-%E0%B9%80%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B8%B6%E0%B8%94%E0%B9%81%E0%B8%9C%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B8%A3...-i.944231623.40607511905?extraParams=%7B%22display_model_id%22%3A208588712774%2C%22model_selection_logic%22%3A3%7D&sp_atk=6c7eca2d-ecc2-40df-9c8d-caf153cace20&xptdk=6c7eca2d-ecc2-40df-9c8d-caf153cace20

